time,id,selection,a,b,c_in,m,f,p,g,c4,ab
15,0001,0001,0001,0100,0,1,1010,1,1,1,1
25,0001,0010,1000,0001,0,1,0001,1,1,1,1
35,0001,0011,1010,0101,0,1,0000,1,1,1,1
45,0001,0100,0000,1111,0,1,1111,1,1,1,1
55,0001,0101,1001,0011,0,1,1100,1,1,1,1
65,0001,0110,0111,0101,0,1,0010,1,1,1,1
75,0001,0111,1011,1100,0,1,0011,1,1,1,1
85,0001,1000,1010,0001,0,1,0101,1,1,1,1
95,0001,1001,1000,1010,0,1,1101,1,1,1,1
105,0001,1010,1010,0000,0,1,0000,1,1,1,1
115,0001,1011,0011,0101,0,1,0001,1,1,1,1
125,0001,1100,0111,0000,0,1,1111,1,1,1,1
135,0001,1101,1111,1100,0,1,1111,1,1,1,1
145,0001,1110,0100,0011,0,1,0111,1,1,1,1
155,0001,1111,0101,0010,0,1,0101,1,1,1,1
165,0001,0000,1010,1100,0,0,1010,0,0,0,0
175,0001,0001,1000,0111,0,0,1111,0,0,0,0
185,0001,0010,0011,0110,0,0,1011,0,0,0,0
195,0001,0011,1010,1100,0,0,1111,0,0,0,0
205,0001,0100,0100,1000,0,0,1000,0,0,0,0
215,0001,0101,1011,0000,0,0,0110,0,0,1,0
225,0001,0110,0000,1011,0,0,0100,0,0,0,0
235,0001,0111,1110,0100,0,0,1001,0,0,1,0
245,0001,1000,0001,0011,0,0,0100,0,0,0,0
255,0001,1001,0110,1001,0,0,1111,0,0,0,0
265,0001,1010,1011,1100,0,0,0011,0,0,1,0
275,0001,1011,1011,1100,0,0,0111,0,0,1,0
285,0001,1100,0111,0100,0,0,0101,0,0,1,0
295,0001,1101,1100,1000,0,0,1000,0,0,1,0
305,0001,1110,0111,0101,0,0,0110,0,0,1,0
315,0001,1111,1010,1110,0,0,1001,0,0,1,0
326,0002,0000,0000,0000,0,1,1111,1,1,1,1
336,0002,0000,0000,0001,0,1,1111,1,1,1,1
346,0002,0000,0000,0010,0,1,1111,1,1,1,1
356,0002,0000,0000,0011,0,1,1111,1,1,1,1
366,0002,0000,0000,0100,0,1,1111,1,1,1,1
376,0002,0000,0000,0101,0,1,1111,1,1,1,1
386,0002,0000,0000,0110,0,1,1111,1,1,1,1
396,0002,0000,0000,0111,0,1,1111,1,1,1,1
406,0002,0000,0000,1000,0,1,1111,1,1,1,1
416,0002,0000,0000,1001,0,1,1111,1,1,1,1
426,0002,0000,0000,1010,0,1,1111,1,1,1,1
436,0002,0000,0000,1011,0,1,1111,1,1,1,1
446,0002,0000,0000,1100,0,1,1111,1,1,1,1
456,0002,0000,0000,1101,0,1,1111,1,1,1,1
466,0002,0000,0000,1110,0,1,1111,1,1,1,1
476,0002,0000,0000,1111,0,1,1111,1,1,1,1
486,0002,0000,0001,0000,0,1,1110,1,1,1,1
496,0002,0000,0001,0001,0,1,1110,1,1,1,1
506,0002,0000,0001,0010,0,1,1110,1,1,1,1
516,0002,0000,0001,0011,0,1,1110,1,1,1,1
526,0002,0000,0001,0100,0,1,1110,1,1,1,1
536,0002,0000,0001,0101,0,1,1110,1,1,1,1
546,0002,0000,0001,0110,0,1,1110,1,1,1,1
556,0002,0000,0001,0111,0,1,1110,1,1,1,1
566,0002,0000,0001,1000,0,1,1110,1,1,1,1
576,0002,0000,0001,1001,0,1,1110,1,1,1,1
586,0002,0000,0001,1010,0,1,1110,1,1,1,1
596,0002,0000,0001,1011,0,1,1110,1,1,1,1
606,0002,0000,0001,1100,0,1,1110,1,1,1,1
616,0002,0000,0001,1101,0,1,1110,1,1,1,1
626,0002,0000,0001,1110,0,1,1110,1,1,1,1
636,0002,0000,0001,1111,0,1,1110,1,1,1,1
646,0002,0000,0010,0000,0,1,1101,1,1,1,1
656,0002,0000,0010,0001,0,1,1101,1,1,1,1
666,0002,0000,0010,0010,0,1,1101,1,1,1,1
676,0002,0000,0010,0011,0,1,1101,1,1,1,1
686,0002,0000,0010,0100,0,1,1101,1,1,1,1
696,0002,0000,0010,0101,0,1,1101,1,1,1,1
706,0002,0000,0010,0110,0,1,1101,1,1,1,1
716,0002,0000,0010,0111,0,1,1101,1,1,1,1
726,0002,0000,0010,1000,0,1,1101,1,1,1,1
736,0002,0000,0010,1001,0,1,1101,1,1,1,1
746,0002,0000,0010,1010,0,1,1101,1,1,1,1
756,0002,0000,0010,1011,0,1,1101,1,1,1,1
766,0002,0000,0010,1100,0,1,1101,1,1,1,1
776,0002,0000,0010,1101,0,1,1101,1,1,1,1
786,0002,0000,0010,1110,0,1,1101,1,1,1,1
796,0002,0000,0010,1111,0,1,1101,1,1,1,1
806,0002,0000,0011,0000,0,1,1100,1,1,1,1
816,0002,0000,0011,0001,0,1,1100,1,1,1,1
826,0002,0000,0011,0010,0,1,1100,1,1,1,1
836,0002,0000,0011,0011,0,1,1100,1,1,1,1
846,0002,0000,0011,0100,0,1,1100,1,1,1,1
856,0002,0000,0011,0101,0,1,1100,1,1,1,1
866,0002,0000,0011,0110,0,1,1100,1,1,1,1
876,0002,0000,0011,0111,0,1,1100,1,1,1,1
886,0002,0000,0011,1000,0,1,1100,1,1,1,1
896,0002,0000,0011,1001,0,1,1100,1,1,1,1
906,0002,0000,0011,1010,0,1,1100,1,1,1,1
916,0002,0000,0011,1011,0,1,1100,1,1,1,1
926,0002,0000,0011,1100,0,1,1100,1,1,1,1
936,0002,0000,0011,1101,0,1,1100,1,1,1,1
946,0002,0000,0011,1110,0,1,1100,1,1,1,1
956,0002,0000,0011,1111,0,1,1100,1,1,1,1
966,0002,0000,0100,0000,0,1,1011,1,1,1,1
976,0002,0000,0100,0001,0,1,1011,1,1,1,1
986,0002,0000,0100,0010,0,1,1011,1,1,1,1
996,0002,0000,0100,0011,0,1,1011,1,1,1,1
